"","Provider.ID","CAC_3_Score","IMM_2_Score","IMM_3_OP_27_FAC_ADHPCT_Score","OP_22_Score","OP_23_Score","OP_29_Score","OP_30_Score","OP_4_Score","PC_01_Score","STK_4_Score","STK_5_Score","STK_6_Score","STK_8_Score","VTE_1_Score","VTE_2_Score","VTE_3_Score","VTE_5_Score","VTE_6_Score"
"119283",310110,NA,0.478107938840914,0.457559266574733,0.706378157225529,0.617392149468495,0.733506065338354,0.712900769526228,-1.35582400543475,NA,NA,1.01240845771166,0.691088178950762,-1.4935155093013,0.509570186115995,-1.32515806887555,0.519084541089281,0.857533668825504,0.546524719800451
"119326",310111,NA,0.453197226111084,-0.25637573291457,0.706378157225529,NA,0.738317807054837,-1.78349790919308,0.764547099475085,0.660851984309751,0.880135439199095,1.01942600385691,0.698768640616738,0.690748040758072,0.485880515405575,-1.32515806887555,0.555142554086597,0.802842958472296,0.546524719800451
"119369",310112,NA,0.483090081386879,0.210427920597666,0.713554481085865,NA,-0.392441496318504,-0.743331793060037,-1.35582400543475,NA,NA,1.01942600385691,0.671887024785821,0.690748040758072,0.509570186115995,0.778623632591174,0.63126502596982,-1.14779237745878,NA
"119412",310113,NA,-2.37665973999749,0.366029138435078,0.706378157225529,0.673276236233798,0.512165946380169,0.757163157446784,-1.35582400543475,0.672952925672987,-1.21870819062824,-0.991100966757019,0.702608871449727,-1.4935155093013,0.509570186115995,-1.32515806887555,0.663316593078546,-1.14779237745878,0.546524719800451
"119455",310115,NA,0.433268655927221,0.393488176876975,0.706378157225529,NA,0.300449310854947,0.292408084280954,-1.35582400543475,0.672952925672987,NA,-0.991100966757019,-1.50168362668554,-1.4935155093013,0.504832251973911,0.760298008013938,-1.63237690108392,0.923162521249353,0.546524719800451
"119498",310118,NA,0.433268655927221,-0.164845604774916,0.713554481085865,NA,NA,NA,NA,-0.694453448372694,NA,NA,NA,NA,-2.21000401144014,-1.32515806887555,NA,NA,NA
"119541",310119,NA,0.323661519915974,0.0822857412021505,-0.908294711350247,NA,NA,0.526998740259897,NA,-0.694453448372694,-1.21870819062824,-0.991100966757019,0.702608871449727,0.725541619431584,0.509570186115995,-1.32515806887555,-1.63237690108392,-1.14779237745878,-0.115711704863942
"119584",310130,NA,0.433268655927221,-0.25637573291457,0.713554481085865,NA,NA,NA,-1.35582400543475,-1.36000522335068,NA,-0.991100966757019,-1.50168362668554,-1.4935155093013,0.495356383689743,0.767628257844833,0.655303701301364,0.915870426535592,NA
"119627",313300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119670",313302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119713",320001,0.518242291659678,0.298750807186144,0.439253240946802,-0.908294711350247,NA,0.584342072127403,0.690769575565951,NA,-0.0228512027130896,NA,0.991355819275913,0.668046793952832,0.65595446208456,0.46692877883724,0.767628257844833,0.667323038967136,0.861179716182384,-1.38835735574073
"119756",320002,NA,0.373482945375632,-0.25637573291457,-0.111722762852864,-0.430434477380936,0.738317807054837,0.735031963486506,NA,-0.0228512027130896,0.724115204769452,1.02293477692953,0.683407717284785,0.563171585621861,0.400597700848066,0.778623632591174,0.655303701301364,0.890348095037429,-1.38835735574073
"119799",320003,NA,-2.37665973999749,0.0365206771323234,-0.908294711350247,NA,-1.99956322962359,-1.78349790919308,0.764547099475085,0.672952925672987,NA,NA,NA,NA,0.509570186115995,-1.32515806887555,0.63126502596982,-1.14779237745878,NA
"119842",320004,NA,0.393411515559495,-0.0458564381933654,0.706378157225529,NA,0.66132993959112,0.717327008318284,0.64983243236827,-0.0228512027130896,NA,NA,0.679567486451797,0.68301613438618,0.424287371558485,0.712651384113124,0.635271471858411,0.711691774550283,NA
"119885",320005,NA,0.433268655927221,0.301958048737321,-0.908294711350247,NA,0.492918979514239,0.735031963486506,NA,-1.36000522335068,0.750118577174393,NA,0.645005408954903,0.574769445179698,0.462190844695156,0.767628257844833,0.430942731540286,0.904932284464951,NA
"119928",320006,NA,0.483090081386879,0.128050805271978,-0.111722762852864,NA,NA,NA,-1.35582400543475,0.672952925672987,NA,NA,0.698768640616738,-1.4935155093013,-2.21000401144014,-1.32515806887555,-1.63237690108392,NA,NA
