"","Provider.ID","MORT_30_AMI_denominator","MORT_30_CABG_denominator","MORT_30_COPD_denominator","MORT_30_HF_denominator","MORT_30_PN_denominator","MORT_30_STK_denominator","MORT_30_AMI_score","MORT_30_CABG_score","MORT_30_COPD_score","MORT_30_HF_score","MORT_30_PN_score","MORT_30_STK_score","PSI_4_SURG_COMP_denominator","PSI_4_SURG_COMP_score"
"228",40114,50,203,244,53,83,49,1758,955,1976,2427,70,2097,3231,2091
"229",40118,43,196,229,52,66,50,1000,2209,1151,1829,2376,975,7295,1198
"230",40119,65,NA,256,48,66,55,1134,NA,1539,2075,2287,664,1036,1995
"231",40132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232",40134,25,201,244,22,80,38,1661,2184,2259,1867,512,2046,6587,1244
"233",40137,NA,NA,251,35,71,80,NA,NA,2749,2582,395,1514,NA,NA
"234",40147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235",40152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",40153,48,NA,231,23,49,NA,1167,NA,2555,2665,780,NA,NA,NA
"237",41300,NA,NA,NA,NA,106,NA,NA,NA,NA,NA,1167,NA,NA,NA
"238",41302,NA,NA,243,NA,135,NA,NA,NA,2154,NA,2760,NA,NA,NA
"239",41303,NA,NA,233,20,53,NA,NA,NA,1514,1167,1640,NA,NA,NA
"240",41304,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,1743,NA,NA,NA
"241",41305,NA,NA,NA,36,70,NA,NA,NA,NA,1577,2370,NA,NA,NA
"242",41306,NA,NA,251,39,86,NA,NA,NA,1769,1934,2370,NA,NA,NA
"243",41307,NA,NA,249,33,42,55,NA,NA,2275,2209,885,1167,NA,NA
"244",41308,NA,NA,NA,NA,92,NA,NA,NA,NA,NA,2176,NA,NA,NA
"245",41309,NA,NA,229,41,62,NA,NA,NA,2246,1743,235,NA,NA,NA
"246",41310,NA,NA,234,28,58,59,NA,NA,357,2027,130,1478,NA,NA
"247",41311,NA,NA,249,26,88,NA,NA,NA,1547,1514,488,NA,NA,NA
"248",41312,NA,NA,244,34,62,54,NA,NA,141,2555,737,1854,NA,NA
"249",41313,NA,NA,238,20,92,NA,NA,NA,2324,1704,413,NA,NA,NA
"250",41314,NA,NA,244,30,87,NA,NA,NA,1347,1347,2355,NA,NA,NA
"251",41316,NA,NA,235,19,66,NA,NA,NA,2481,1704,2209,NA,NA,NA
"252",41317,NA,NA,235,29,94,NA,NA,NA,1215,1167,2497,NA,NA,NA
"253",41318,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,2678,NA,NA,NA
"254",41319,NA,NA,244,62,59,NA,NA,NA,2387,2246,214,NA,NA,NA
"255",41320,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,2154,NA,NA,NA
"256",41321,NA,NA,245,23,134,61,NA,NA,2305,2324,205,1514,NA,NA
"257",41322,NA,NA,253,49,124,79,NA,NA,2481,2515,225,1347,NA,NA
"258",41323,NA,NA,240,36,67,65,NA,NA,2259,2259,498,1824,NA,NA
"259",41324,NA,NA,257,33,63,NA,NA,NA,2063,2288,365,NA,NA,NA
"260",41326,NA,NA,237,20,69,43,NA,NA,2288,1215,2275,1478,NA,NA
"261",41327,NA,NA,239,35,40,61,NA,NA,2088,1743,750,1257,NA,NA
"262",41328,64,NA,237,42,79,65,1301,NA,2194,2275,2606,1215,NA,NA
"263",41329,NA,NA,NA,65,123,NA,NA,NA,NA,1824,575,NA,NA,NA
"264",41330,NA,NA,240,45,36,NA,NA,NA,39,2497,575,NA,NA,NA
"265",41331,NA,NA,NA,30,51,NA,NA,NA,NA,1167,2404,NA,NA,NA
"266",43300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267",50002,40,NA,247,23,94,57,108,NA,646,614,1657,2105,3342,1543
"268",50006,44,NA,250,41,76,43,1265,NA,652,1269,1562,690,7368,1232
"269",50007,38,192,239,17,52,39,949,1391,955,1651,2081,1357,1,366
"270",50008,NA,NA,NA,31,69,43,NA,NA,NA,1934,2714,1313,4229,1671
"271",50009,51,203,241,28,77,79,395,2027,690,1494,2003,658,5345,774
"272",50013,44,113,224,15,60,52,440,2450,2738,575,365,1769,6719,331
"273",50014,66,NA,16,38,75,61,1704,NA,245,338,1298,225,3239,1647
"274",50017,39,6,238,29,58,44,1728,847,766,1479,1617,800,1800,1018
"275",50018,NA,NA,224,7,41,34,NA,NA,267,2623,357,2063,NA,NA
"276",50022,59,188,251,13,59,40,1258,2404,697,1251,1982,820,297,1253
"277",50024,38,NA,221,242,71,38,2209,NA,27,852,1744,2450,NA,NA
"278",50025,31,114,224,258,54,56,810,2529,164,1594,1800,759,2806,346
"279",50026,52,188,7,48,88,54,1040,2370,2161,2242,2322,1793,851,1844
"280",50028,NA,NA,244,40,84,58,NA,NA,2568,2288,512,1743,NA,NA
"281",50030,23,NA,228,239,11,21,299,NA,759,1484,2720,498,5945,572
"282",50036,59,115,13,26,86,57,891,2246,1099,1053,1192,566,6373,1401
"283",50038,47,NA,235,252,87,73,2404,NA,2555,750,1107,153,5275,874
"284",50039,55,190,230,34,91,64,1793,862,2510,1837,5,1927,1936,1137
"285",50040,NA,NA,NA,24,98,NA,NA,NA,NA,1112,2194,NA,NA,NA
"286",50042,NA,NA,19,59,89,54,NA,NA,728,658,1198,2623,NA,NA
"287",50043,32,109,236,256,55,28,1156,2582,1066,1784,2199,1395,7022,2015
"288",50045,60,NA,238,23,77,27,365,NA,141,1124,1802,471,NA,NA
"289",50047,27,190,223,251,72,57,744,1934,521,1720,1980,1093,1403,579
"290",50054,51,NA,239,21,104,53,2582,NA,2450,2650,800,1347,NA,NA
"291",50055,46,NA,228,16,67,64,1257,NA,2275,338,530,1640,NA,NA
"292",50056,56,NA,253,17,134,52,775,NA,1334,865,1600,658,6765,2127
"293",50057,26,111,7,25,84,67,1999,690,1880,2373,319,1800,1075,2112
"294",50058,56,190,233,248,50,44,646,2259,1012,1755,2054,75,5475,1890
"295",50060,34,114,18,16,85,70,1448,431,1277,1758,2274,1611,1969,2099
"296",50063,45,116,233,258,46,30,697,1167,1216,935,1836,395,5071,1273
"297",50067,NA,NA,244,18,105,56,NA,NA,2229,1824,2636,1112,NA,NA
"298",50069,40,190,239,44,129,56,918,2404,810,1626,2163,1128,357,1579
"299",50070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300",50071,NA,NA,NA,NA,95,68,NA,NA,NA,NA,1478,1514,NA,NA
"301",50072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302",50073,45,NA,NA,27,72,54,1610,NA,NA,1431,1704,1215,NA,NA
"303",50075,NA,NA,NA,22,67,55,NA,NA,NA,1640,1514,1984,NA,NA
"304",50076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
